country,month,sector,sum,min,max,mean
Brazil,07/2022,Industry,11.526398,0.339466,0.419031,0.37181929032258065
Brazil,07/2022,International Aviation,0.43832,0.0129423,0.0151966,0.014139354838709676
Brazil,07/2022,Power,3.42985,0.101013,0.124689,0.11064032258064517
Brazil,07/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,08/2019,Domestic Aviation,0.827404,0.0222243,0.0286431,0.026690451612903225
Brazil,08/2019,Ground Transport,14.628955000000001,0.385993,0.501186,0.47190177419354845
Brazil,08/2019,Industry,11.959299,0.301186,0.441555,0.3857838387096774
Brazil,08/2019,International Aviation,0.5549986,0.0160786,0.0189761,0.01790318064516129
Brazil,08/2019,Power,8.612918,0.21691,0.318002,0.277836064516129
Brazil,08/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,08/2020,Domestic Aviation,0.36217976,0.00672347,0.014788,0.011683218064516129
Brazil,08/2020,Ground Transport,12.53317,0.154937,0.476058,0.4042958064516129
Brazil,08/2020,Industry,11.661399,0.24018,0.453166,0.37617416129032255
Brazil,08/2020,International Aviation,0.1266985,0.00312772,0.00512877,0.004087048387096774
Brazil,08/2020,Power,3.739674,0.077023,0.145325,0.12063464516129033
Brazil,08/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,08/2021,Domestic Aviation,0.77704,0.0175339,0.0286637,0.025065806451612903
Brazil,08/2021,Ground Transport,14.230978,0.299172,0.497951,0.45906380645161293
Brazil,08/2021,Industry,11.610896,0.326211,0.402612,0.3745450322580645
Brazil,08/2021,International Aviation,0.25248008,0.00658865,0.00907905,0.00814451870967742
Brazil,08/2021,Power,13.049461,0.366628,0.452495,0.4209503548387097
Brazil,08/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,08/2022,Domestic Aviation,0.9323362,0.0259651,0.0327708,0.03007536129032258
Brazil,08/2022,Ground Transport,14.819673,0.401278,0.501351,0.4780539677419355
Brazil,08/2022,Industry,12.087898,0.325854,0.4284,0.3899321935483871
Brazil,08/2022,International Aviation,0.43630599999999997,0.0128004,0.0154583,0.014074387096774192
Brazil,08/2022,Power,3.614268,0.09743,0.128091,0.11658929032258064
Brazil,08/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,09/2019,Domestic Aviation,0.8081471,0.0223683,0.0295844,0.026938236666666667
Brazil,09/2019,Ground Transport,14.085526,0.385993,0.501186,0.46951753333333335
Brazil,09/2019,Industry,11.398496,0.346515,0.405981,0.37994986666666664
Brazil,09/2019,International Aviation,0.5277382,0.0161673,0.0190722,0.017591273333333334
Brazil,09/2019,Power,8.469,0.257458,0.301641,0.2823
Brazil,09/2019,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,09/2020,Domestic Aviation,0.44106775,0.00817555,0.0177789,0.014702258333333332
Brazil,09/2020,Ground Transport,12.277172,0.193153,0.478796,0.40923906666666665
Brazil,09/2020,Industry,11.969498,0.300609,0.504989,0.39898326666666667
Brazil,09/2020,International Aviation,0.13853034,0.00288983,0.00547113,0.004617678
Brazil,09/2020,Power,3.385524,0.085026,0.142834,0.1128508
Brazil,09/2020,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,09/2021,Domestic Aviation,0.802475,0.0166519,0.0311278,0.026749166666666668
Brazil,09/2021,Ground Transport,13.708472,0.320132,0.500021,0.4569490666666667
Brazil,09/2021,Industry,11.3743,0.334648,0.420428,0.37914333333333333
Brazil,09/2021,International Aviation,0.25581861,0.00700928,0.0100378,0.008527287
Brazil,09/2021,Power,12.507436,0.367987,0.462312,0.41691453333333334
Brazil,09/2021,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,09/2022,Domestic Aviation,0.8953571,0.026557,0.0325942,0.029845236666666667
Brazil,09/2022,Ground Transport,14.283418000000001,0.420169,0.502021,0.47611393333333335
Brazil,09/2022,Industry,11.506994,0.32833,0.430939,0.38356646666666666
Brazil,09/2022,International Aviation,0.4298123,0.0129278,0.0158175,0.014327076666666666
Brazil,09/2022,Power,3.596806,0.102628,0.134701,0.11989353333333333
Brazil,09/2022,Residential,3.05202,0.101734,0.101734,0.101734
